Date,Temperature,Rainfall,WaterContent,Month,Season,Rainfall_7d_avg,WaterContent_7d_avg,PremiseIndex
2017-01-01,29.8,8.93,37.9,1,Wet,8.93,37.9,6.57
2017-01-02,28.88,8.04,12.95,1,Wet,8.48,25.42,2.15
2017-01-03,27.2,8.47,25.22,1,Wet,8.48,25.36,4.2
2017-01-04,27.25,11.94,51.93,1,Wet,9.34,32.0,8.77
2017-01-05,28.05,8.15,40.49,1,Wet,9.11,33.7,5.6
2017-01-06,28.86,18.74,49.63,1,Wet,10.71,36.35,7.78
2017-01-07,27.71,2.49,41.3,1,Wet,9.54,37.06,7.39
2017-01-08,27.21,17.42,48.61,1,Wet,10.75,38.59,8.73
2017-01-09,29.14,5.51,35.88,1,Wet,10.39,41.87,5.47
2017-01-10,27.97,1.35,42.24,1,Wet,9.37,44.3,6.92
2017-01-11,27.81,8.86,33.19,1,Wet,8.93,41.62,5.3
2017-01-12,28.59,5.01,33.84,1,Wet,8.48,40.67,4.98
2017-01-13,25.86,11.63,47.56,1,Wet,7.47,40.37,7.48
2017-01-14,28.47,12.42,32.29,1,Wet,8.88,39.09,3.82
2017-01-15,28.41,7.59,50.32,1,Wet,7.48,39.33,5.41
2017-01-16,26.62,12.0,42.52,1,Wet,8.41,40.28,6.24
2017-01-17,26.06,10.49,26.9,1,Wet,9.71,38.09,3.9
2017-01-18,27.44,8.74,35.06,1,Wet,9.7,38.36,6.06
2017-01-19,28.18,7.41,22.07,1,Wet,10.04,36.67,3.24
2017-01-20,28.28,5.8,35.5,1,Wet,9.21,34.95,3.79
2017-01-21,29.7,26.04,47.05,1,Wet,11.15,37.06,10.01
2017-01-22,28.18,8.44,28.11,1,Wet,11.28,33.89,4.51
2017-01-23,26.6,10.84,20.87,1,Wet,11.11,30.79,3.93
2017-01-24,27.75,13.35,32.76,1,Wet,11.52,31.63,3.96
2017-01-25,26.7,6.94,33.75,1,Wet,11.26,31.44,4.37
2017-01-26,27.82,11.39,35.39,1,Wet,11.83,33.35,5.83
2017-01-27,29.41,24.52,35.41,1,Wet,14.5,33.33,5.85
2017-01-28,28.46,4.77,34.03,1,Wet,11.46,31.47,5.26
2017-01-29,27.28,24.51,39.75,1,Wet,13.76,33.14,6.72
2017-01-30,28.59,14.01,50.43,1,Wet,14.21,37.36,7.7
2017-01-31,27.22,5.45,45.05,1,Wet,13.08,39.12,6.13
2017-02-01,26.7,4.54,31.06,2,Wet,12.74,38.73,7.08
2017-02-02,28.23,24.42,65.3,2,Wet,14.6,43.01,10.88
2017-02-03,29.92,16.61,41.88,2,Wet,13.47,43.93,6.79
2017-02-04,30.24,7.77,23.21,2,Wet,13.9,42.38,5.99
2017-02-05,31.18,5.99,46.65,2,Wet,11.26,43.37,6.11
2017-02-06,29.81,5.47,50.52,2,Wet,10.04,43.38,7.82
2017-02-07,30.81,7.49,45.94,2,Wet,10.33,43.51,5.33
2017-02-08,30.09,8.02,28.78,2,Wet,10.83,43.18,4.22
2017-02-09,30.4,9.69,25.4,2,Wet,8.72,37.48,5.0
2017-02-10,30.57,3.98,29.68,2,Wet,6.92,35.74,5.28
2017-02-11,29.95,5.28,58.99,2,Wet,6.56,40.85,8.22
2017-02-12,30.54,7.21,24.0,2,Wet,6.73,37.61,4.22
2017-02-13,28.77,30.52,62.63,2,Wet,10.31,39.34,10.26
2017-02-14,27.04,10.44,37.43,2,Wet,10.74,38.13,4.61
2017-02-15,30.11,2.81,41.69,2,Wet,9.99,39.97,5.44
2017-02-16,29.84,4.15,20.72,2,Wet,9.2,39.3,3.53
2017-02-17,28.59,24.23,46.89,2,Wet,12.09,41.76,9.82
2017-02-18,28.2,18.84,36.09,2,Wet,14.03,38.49,7.34
2017-02-19,29.59,6.51,26.79,2,Wet,13.93,38.89,3.26
2017-02-20,30.18,12.17,47.1,2,Wet,11.31,36.67,7.67
2017-02-21,29.98,11.22,27.79,2,Wet,11.42,35.3,4.74
2017-02-22,28.44,8.64,39.81,2,Wet,12.25,35.03,5.44
2017-02-23,28.67,4.58,34.23,2,Wet,12.31,36.96,6.03
2017-02-24,30.13,1.82,21.92,2,Wet,9.11,33.39,4.53
2017-02-25,29.54,15.46,34.99,2,Wet,8.63,33.23,6.84
2017-02-26,30.52,11.4,42.46,2,Wet,9.33,35.47,5.71
2017-02-27,29.14,4.65,33.47,2,Wet,8.25,33.52,4.48
2017-02-28,30.2,18.3,45.02,2,Wet,9.26,35.98,7.79
